,"Year","Soy_Yield"
1,1950,1.34308650632911
2,1951,1.31645615189873
3,1952,1.38305759493671
4,1953,1.21249043037975
5,1954,1.34787417721519
6,1955,1.29541425316456
7,1956,1.397148
8,1957,1.50380572151899
9,1958,1.60213187341772
10,1959,1.58729179746835
11,1960,1.55125648101266
12,1961,1.68410156962025
13,1962,1.61114496202532
14,1963,1.65471106329114
15,1964,1.53081091139241
16,1965,1.61770458227848
17,1966,1.67750787341772
18,1967,1.62944374683544
19,1968,1.85536729113924
20,1969,1.88075387341772
21,1970,1.83923232911392
22,1971,1.86743017721519
23,1972,1.94454405063291
24,1973,1.89952972151899
25,1974,1.58420792405063
26,1975,1.99950855696203
27,1976,1.78694278481013
28,1977,2.23243470886076
29,1978,2.10771673417721
30,1979,2.27613711392405
31,1980,2.09001427848101
32,1981,2.21468113924051
33,1982,2.26431275949367
34,1983,1.95786774683544
35,1984,2.03119918987342
36,1985,2.41809751898734
37,1986,2.40947630379747
38,1987,2.45338316455696
39,1988,1.81921270886076
40,1989,2.32006101265823
41,1990,2.49180379746835
42,1991,2.43024559493671
43,1992,2.585666
44,1993,2.30873075949367
45,1994,2.88163265822785
46,1995,2.53940789873418
47,1996,2.53894787341772
48,1997,2.73619650632911
49,1998,2.75124103797468
50,1999,2.54956253164557
51,2000,2.65729364556962
52,2001,2.69724769620253
53,2002,2.63899486075949
54,2003,2.2679077721519
55,2004,3.00522612658228
56,2005,3.00067698734177
57,2006,3.03391807594937
58,2007,2.86144265822785
59,2008,2.7511217721519
60,2009,3.06922075949367
61,2010,3.08695729113924
62,2011,2.99009640506329
63,2012,2.83017797468354
64,2013,3.07008969620253
65,2014,3.29809187341772
66,2015,3.42909686075949
67,2016,3.67531263291139
68,2017,3.48128417721519
69,2018,3.60871118987342
70,2019,3.3129149113924
