,"Year","Soy_Yield"
1,1950,1.37601662576687
2,1951,1.35921226993865
3,1952,1.46680969325153
4,1953,1.29635076687117
5,1954,1.46410530674847
6,1955,1.36100831288344
7,1956,1.48840349693252
8,1957,1.56765647239264
9,1958,1.60285478527607
10,1959,1.62686395705521
11,1960,1.57634766871166
12,1961,1.7541559202454
13,1962,1.66435377300613
14,1963,1.75386690184049
15,1964,1.58532788343558
16,1965,1.65603417177914
17,1966,1.73567938650307
18,1967,1.66175260736196
19,1968,1.94020119631902
20,1969,1.95087423312883
21,1970,1.95025490797546
22,1971,1.94424745398773
23,1972,2.01590337423313
24,1973,1.95857450920245
25,1974,1.62217773006135
26,1975,2.08594904907975
27,1976,1.90044052147239
28,1977,2.34544628834356
29,1978,2.22310892638037
30,1979,2.35828696319018
31,1980,2.29111082822086
32,1981,2.29744858895706
33,1982,2.36611110429448
34,1983,2.10960726993865
35,1984,2.12758834355828
36,1985,2.5106822392638
37,1986,2.52643374233129
38,1987,2.60426226993865
39,1988,1.84527929447853
40,1989,2.43700319018405
41,1990,2.63745809815951
42,1991,2.55979472392638
43,1992,2.64144242331288
44,1993,2.42024012269939
45,1994,2.99629509202454
46,1995,2.68809825153374
47,1996,2.56772208588957
48,1997,2.86219055214724
49,1998,2.92823125766871
50,1999,2.71196291411043
51,2000,2.83568343558282
52,2001,2.80001030674847
53,2002,2.8005676993865
54,2003,2.27459549079755
55,2004,3.06179904907975
56,2005,3.12876874233129
57,2006,3.18828588957055
58,2007,3.03712926380368
59,2008,2.84177346625767
60,2009,3.12119233128834
61,2010,3.27428950920245
62,2011,3.1293467791411
63,2012,2.91881751533742
64,2013,3.10758782208589
65,2014,3.37715941717791
66,2015,3.5226595398773
67,2016,3.79801150306748
68,2017,3.54640033742331
69,2018,3.71264785276074
70,2019,3.38151533742331
