"","Year","obs_yield","frcst_aug_yield","frcst_sep_yield"
"1",1950,1.38926428571429,NA,NA
"2",1951,1.34119285714286,NA,NA
"3",1952,1.42772142857143,NA,NA
"4",1953,1.26908571428571,NA,NA
"5",1954,1.42291428571429,NA,NA
"6",1955,1.33157857142857,NA,NA
"7",1956,1.46137142857143,NA,NA
"8",1957,1.53828571428571,NA,NA
"9",1958,1.58155,NA,NA
"10",1959,1.57674285714286,NA,NA
"11",1960,1.5479,NA,NA
"12",1961,1.71615,NA,NA
"13",1962,1.62481428571429,NA,NA
"14",1963,1.70653571428571,NA,NA
"15",1964,1.51905714285714,NA,NA
"16",1965,1.64885,NA,NA
"17",1966,1.73057142857143,NA,NA
"18",1967,1.59597142857143,NA,NA
"19",1968,1.92285714285714,NA,NA
"20",1969,1.92285714285714,NA,NA
"21",1970,1.90843571428571,NA,NA
"22",1971,1.94689285714286,NA,NA
"23",1972,2.019,NA,NA
"24",1973,1.95650714285714,NA,NA
"25",1974,1.60558571428571,NA,NA
"26",1975,2.06707142857143,NA,NA
"27",1976,1.87478571428571,NA,NA
"28",1977,2.38434285714286,NA,NA
"29",1978,2.25935714285714,NA,NA
"30",1979,2.36030714285714,NA,NA
"31",1980,2.24012857142857,NA,NA
"32",1981,2.25455,NA,NA
"33",1982,2.36030714285714,NA,NA
"34",1983,2.07187857142857,NA,NA
"35",1984,2.10072142857143,NA,NA
"36",1985,2.51894285714286,NA,NA
"37",1986,2.52375,NA,NA
"38",1987,2.57182142857143,2.61348333333333,2.57983333333333
"39",1988,1.80748571428571,1.83953333333333,1.83953333333333
"40",1989,2.39395714285714,2.38915,2.36671666666667
"41",1990,2.60066428571429,2.36671666666667,2.40036666666667
"42",1991,2.51894285714286,2.32185,2.25455
"43",1992,2.61508571428571,2.59105,2.59105
"44",1993,2.39395714285714,2.50131666666667,2.52375
"45",1994,2.9612,2.71443333333333,2.78173333333333
"46",1995,2.62950714285714,2.61348333333333,2.692
"47",1996,2.59105,2.52375,2.45645
"48",1997,2.84102142857143,2.84903333333333,2.86025
"49",1998,2.8939,2.8939,2.97241666666667
"50",1999,2.66315714285714,2.80416666666667,2.71443333333333
"51",2000,2.80256428571429,2.99965714285714,2.95158571428571
"52",2001,2.79775714285714,2.73045714285714,2.71122857142857
"53",2002,2.74968571428571,2.63431428571429,2.64392857142857
"54",2003,2.26416428571429,2.84582857142857,2.57662857142857
"55",2004,2.98042857142857,2.72084285714286,2.65354285714286
"56",2005,3.07176428571429,2.67277142857143,2.74007142857143
"57",2006,3.0958,2.87467142857143,3.03811428571429
"58",2007,2.97081428571429,2.9612,2.93235714285714
"59",2008,2.74487857142857,2.87467142857143,2.77852857142857
"60",2009,3.06215,2.95158571428571,2.95158571428571
"61",2010,3.2304,3.12464285714286,3.21117142857143
"62",2011,3.0285,2.99004285714286,2.99965714285714
"63",2012,2.81217857142857,2.52855714285714,2.45164285714286
"64",2013,3.01407857142857,3.0285,2.88428571428571
"65",2014,3.33615714285714,3.20155714285714,3.2977
"66",2015,3.38903571428571,3.2304,3.26885714285714
"67",2016,3.72072857142857,3.53805714285714,3.65342857142857
"68",2017,3.48998571428571,3.53805714285714,3.54767142857143
"69",2018,3.60055,3.66304285714286,3.75918571428571
"70",2019,3.32654285714286,3.32654285714286,3.28808571428571
